id	Kanji	Strokes	Grade	Kanji_Classification	JLPT-test	Name_of_Radical	Radical_Freq	#_of_On	#_of_Meanings_of_On	#_of_Meanings_of_Kun	Year_of_Inclusion	Kanji_Frequency_with_Proper_Nouns	Kanji_Frequency_without_Proper_Nouns	Symmetry
1356	池	6	2	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	5	5	1981	47798	9390	S
1357	知	8	2	会意_Com_Ideographic	4	Ya_Yahen	4	1	3	11	1981	267746	217178	S
1358	値	10	6	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	3	3	1981	81179	81150	P
1359	恥	10	7	会意_Com_Ideographic	3	Kokoro_Risshinben_Shitagokoro	76	1	5	15	1981	5614	5614	S
1360	致	10	7	会意_Com_Ideographic	1	Itaru	2	1	9	9	1981	69700	69697	P
1361	遅	12	7	形声_Phonetic	3	Shinnyoo	51	1	5	10	1981	37540	37425	R
1362	痴	13	7	会意_Com_Ideographic	1	Yamaidare	15	1	1	0	1981	4755	4753	S
1363	稚	13	7	形声_Phonetic	1	Nogi_Nogihen	23	1	1	0	1981	6806	6287	S
1364	置	13	4	形声_Phonetic	3	Amigashira	7	1	17	17	1981	161103	159822	P
1365	緻	16	7	形声_Phonetic	0	Ito_Itohen	63	1	1	0	2010	967	967	S
1366	竹	6	1	象形_Pictographic	2	Take_Takekanmuri	24	1	1	2	1981	46323	7362	P
1367	畜	10	7	会意_Com_Ideographic	2	Ta_Tahen	19	1	1	0	1981	4741	4459	S
1368	逐	10	7	会意_Com_Ideographic	1	Shinnyoo	51	1	5	0	1981	1025	1025	S
1369	蓄	13	7	形声_Phonetic	1	Kusakanmuri	47	1	3	4	1981	9211	9211	S
1370	築	16	5	形声_Phonetic	2	Take_Takekanmuri	24	1	2	2	1981	40789	38256	S
1371	秩	10	7	形声_Phonetic	1	Nogi_Nogihen	23	1	2	0	1981	6831	3287	
1372	窒	11	7	形声_Phonetic	1	Ana_Anakanmuri	10	1	2	0	1981	2562	2562	
1373	茶	9	2	形声_Phonetic	4	Kusakanmuri	47	2	4	0	1981	21104	18222	R
