id	Kanji	Strokes	Grade	Kanji_Classification	JLPT-test	Name_of_Radical	Radical_Freq	#_of_On	#_of_Meanings_of_On	#_of_Meanings_of_Kun	Year_of_Inclusion	Kanji_Frequency_with_Proper_Nouns	Kanji_Frequency_without_Proper_Nouns	Symmetry
1722	漂	14	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	1	1	1981	7559	7559	
1723	標	15	4	形声_Phonetic	1	Ki_Kihen	85	1	4	0	1981	64993	64511	S
1724	苗	8	7	会意_Com_Ideographic	1	Kusakanmuri	47	1	3	3	1981	4836	2420	S
1725	秒	9	3	会意_Com_Ideographic	2	Nogi_Nogihen	23	1	1	0	1981	92691	92691	S
1726	病	10	3	形声_Phonetic	4	Yamaidare	15	2	3	7	1981	129313	125840	S
1727	描	11	7	形声_Phonetic	1	Tehen	89	1	4	6	1981	42225	42225	S
1728	猫	11	7	形声_Phonetic	3	Inu_Kemonohen	17	1	1	1	1981	10029	9920	S
1729	品	9	3	会意_Com_Ideographic	4	Kuchi_Kuchihen	70	1	3	10	1981	221436	211039	P
1730	浜	10	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	3	3	1981	101829	3071	S
1731	貧	11	5	会意_Com_Ideographic	3	Kai_Kaihen	35	2	1	3	1981	16085	16085	R
1732	賓	15	7	会意_Com_Ideographic	1	Kai_Kaihen	35	1	1	0	1981	1926	1724	S
1733	頻	17	7	会意_Com_Ideographic	1	Oogai	22	1	2	0	1981	4803	4803	R
1734	敏	10	7	会意_Com_Ideographic	1	Nobun	16	1	2	0	1981	23308	4557	S
1735	瓶	11	7	形声_Phonetic	2	Kawara	2	1	4	0	1981	5566	3890	P
1736	不	4	4	仮借_Loan	4	Fu	1	2	4	0	1981	379808	375009	R
1737	夫	4	4	象形_Pictographic	3	Dai	16	2	2	2	1981	159635	78438	P
1738	父	4	2	会意_Com_Ideographic	5	Chichi	1	1	1	1	1981	67864	63779	S
1739	付	5	4	会意_Com_Ideographic	3	Hito_Ninben_Hitoyane	104	1	6	37	1981	223721	222560	S
1740	布	5	5	形声_Phonetic	2	Haba_Kinben	17	1	1	1	1981	33076	25401	S
1741	扶	7	7	形声_Phonetic	1	Tehen	89	1	8	0	1981	2891	2163	R
1742	府	8	4	形声_Phonetic	2	Madare	17	1	4	0	1981	266857	252316	S
1743	怖	8	7	形声_Phonetic	3	Kokoro_Risshinben_Shitagokoro	76	1	4	4	1981	14400	14400	
1744	阜	8	7	象形_Pictographic	0	Kozatohen	31	1	2	0	2010	14256	89	
1745	附	8	7	形声_Phonetic	1	Kozatohen	31	1	6	0	1981	970	224	R
1746	訃	9	7	形声_Phonetic	0	Gon_Gonben	68	1	2	0	2010	15126	15126	
1747	負	9	3	会意_Com_Ideographic	3	Kai_Kaihen	35	1	3	17	1981	152042	152035	S
1748	赴	9	7	形声_Phonetic	1	Hashiru_Soonyoo	6	1	4	4	1981	2937	2937	
1749	浮	10	7	形声_Phonetic	3	Mizu_Sanzui_Shitamizu	118	1	8	22	1981	44612	44219	R
1750	婦	11	5	形声_Phonetic	3	Onna_Onnahen	36	1	3	0	1981	47248	46677	P
1751	符	11	7	形声_Phonetic	2	Take_Takekanmuri	24	1	5	0	1981	4789	4788	S
1752	富	12	5	形声_Phonetic	3	Ukanmuri	36	2	1	12	1981	73740	15903	R
1753	普	12	7	会意_Com_Ideographic	2	Nichi_Nichihen	38	1	2	0	1981	45675	37885	R
1754	腐	14	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	7	11	1981	7603	7599	R
1755	敷	15	7	形声_Phonetic	1	Nobun	16	1	7	7	1981	19991	15267	S
1756	膚	15	7	形声_Phonetic	2	Niku_Nikuzuki	44	1	5	0	1981	3847	3847	
1757	賦	15	7	形声_Phonetic	1	Kai_Kaihen	35	1	6	0	1981	442	442	S
1758	譜	19	7	形声_Phonetic	1	Gon_Gonben	68	1	8	0	1981	12459	12459	P
1759	侮	8	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	2	2	1981	1515	1515	
1760	武	8	5	会意_Com_Ideographic	2	Tomeru	6	2	6	0	1981	141828	45612	R
1761	部	11	3	形声_Phonetic	3	Oozato	12	1	13	0	1981	626282	579457	P
1762	舞	15	7	会意_Com_Ideographic	3	Maiashi	1	1	5	6	1981	60222	53872	S
1763	封	9	7	会意_Com_Ideographic	2	Sun	12	2	4	0	1981	22784	22777	S
1764	風	9	2	形声_Phonetic	4	Kaze	1	2	23	6	1981	98812	95284	S
1765	伏	6	7	会意_Com_Ideographic	1	Hito_Ninben_Hitoyane	104	1	3	9	1981	12862	7413	S
1766	服	8	3	形声_Phonetic	4	Tsuki_Tsukihen	8	1	6	0	1981	39267	35638	P
1767	副	11	4	形声_Phonetic	2	Katana_Rittoo	32	1	4	0	1981	86495	85481	R
1768	幅	12	7	形声_Phonetic	2	Haba_Kinben	17	1	4	6	1981	54965	54955	P
1769	復	12	5	形声_Phonetic	2	Gyooninben	19	1	6	0	1981	116991	116951	R
1770	福	13	3	形声_Phonetic	3	Shimesu_Shimesuhen	15	1	5	0	1981	173574	34702	S
1771	腹	13	6	形声_Phonetic	3	Niku_Nikuzuki	44	1	2	13	1981	14645	14644	S
1772	複	14	5	形声_Phonetic	2	Koromo_Koromohen	21	1	4	0	1981	39101	39101	R
1773	覆	18	7	形声_Phonetic	1	Nishi	4	1	4	23	1981	10712	10712	S
1774	払	5	7	形声_Phonetic	3	Tehen	89	1	12	12	1981	54257	54133	S
1775	沸	8	7	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	9	11	1981	4793	4781	
1776	仏	4	5	形声_Phonetic	2	Hito_Ninben_Hitoyane	104	1	2	4	1981	34332	6745	R
1777	物	8	3	形声_Phonetic	4	Ushi_Ushihen	6	2	7	7	1981	276274	271270	P
1778	粉	10	4	形声_Phonetic	2	Kome_Komehen	10	1	2	3	1981	13864	13593	S
1779	紛	10	7	形声_Phonetic	1	Ito_Itohen	63	1	4	11	1981	15458	15458	S
1780	雰	12	7	形声_Phonetic	1	Ame_Amekanmuri	13	1	1	0	1981	10375	10375	
1781	噴	15	7	形声_Phonetic	1	Kuchi_Kuchihen	70	1	3	3	1981	11160	11102	R
1782	墳	15	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	1	2	0	1981	3436	3436	
1783	憤	15	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	3	3	1981	3711	3711	S
1784	奮	16	6	会意_Com_Ideographic	1	Dai	16	1	3	3	1981	8951	8951	S
1785	分	4	2	会意_Com_Ideographic	5	Katana_Rittoo	32	3	25	33	1981	842519	823138	S
1786	文	4	1	象形_Pictographic	4	Bun	2	2	15	2	1981	388966	345135	S
1787	聞	14	2	形声_Phonetic	5	Mimi_Mimihen	5	2	5	11	1981	204919	130510	P
1788	丙	5	7	象形_Pictographic	1	Ichi	14	1	2	0	1981	192	180	
1789	平	5	3	会意_Com_Ideographic	3	Ichijuu	5	2	2	9	1981	239103	141560	R
1790	兵	7	4	会意_Com_Ideographic	2	Hachi	8	2	8	0	1981	90710	63695	P
1791	併	8	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	2	2	1981	30860	30859	R
1792	並	8	6	会意_Com_Ideographic	2	Ni	6	1	5	19	1981	52167	46713	S
1793	柄	9	7	形声_Phonetic	1	Ki_Kihen	85	1	7	12	1981	20096	19364	P
1794	陛	10	6	形声_Phonetic	1	Kozatohen	31	1	1	0	1981	7194	7194	
1795	閉	11	6	会意_Com_Ideographic	3	Mongamae	11	1	2	5	1981	30232	30228	R
1796	塀	12	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	1	2	0	1981	1184	1180	
1797	幣	15	7	形声_Phonetic	1	Haba_Kinben	17	1	4	0	1981	2406	2186	S
1798	弊	15	7	形声_Phonetic	1	Komanuki_Nijuuashi	3	1	8	0	1981	2867	2867	S
1799	蔽	15	7	形声_Phonetic	0	Kusakanmuri	47	1	9	0	2010	192	192	
1800	餅	15	7	形声_Phonetic	0	Shoku_Shokuhen	12	1	1	1	2010	1755	1741	
1801	米	6	2	象形_Pictographic	3	Kome_Komehen	10	2	2	1	1981	567851	51380	S
1802	壁	16	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	1	4	1	1981	23779	23246	P
1803	璧	18	7	形声_Phonetic	0	Tama_Oo	15	1	4	0	2010	302	294	
1804	癖	18	7	形声_Phonetic	1	Yamaidare	15	1	1	8	1981	2591	2591	P
1805	別	7	4	会意_Com_Ideographic	4	Katana_Rittoo	32	1	8	11	1981	172357	167354	S
1806	蔑	14	7	会意_Com_Ideographic	0	Kusakanmuri	47	1	4	2	2010	356	356	
1807	片	4	6	象形_Pictographic	2	Katahen	2	1	4	4	1981	31236	17695	S
1808	辺	5	4	形声_Phonetic	2	Shinnyoo	51	1	9	1	1981	73599	38719	P
1809	返	7	3	形声_Phonetic	3	Shinnyoo	51	1	1	13	1981	115724	115704	R
1810	変	9	4	会意_Com_Ideographic	3	Suinyoo	4	1	5	10	1981	183042	183042	R
1811	偏	11	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	3	3	1981	6674	6674	S
1812	遍	12	7	形声_Phonetic	1	Shinnyoo	51	1	1	0	1981	2703	2696	S
1813	編	15	5	形声_Phonetic	2	Ito_Itohen	63	1	5	10	1981	73109	73107	S
1814	弁	5	5	象形_Pictographic	1	Komanuki_Nijuuashi	3	1	7	0	1981	72179	68105	S
1815	便	9	4	会意_Com_Ideographic	3	Hito_Ninben_Hitoyane	104	2	8	3	1981	48844	47573	S
1816	勉	10	3	形声_Phonetic	4	Chikara	23	1	8	0	1981	18963	15128	S
1817	歩	8	2	会意_Com_Ideographic	4	Tomeru	6	3	8	3	1981	117776	115865	S
1818	保	9	5	会意_Com_Ideographic	1	Hito_Ninben_Hitoyane	104	1	1	12	1981	371112	299957	R
1819	哺	10	7	形声_Phonetic	0	Kuchi_Kuchihen	70	1	1	0	2010	315	315	
1820	捕	10	7	形声_Phonetic	3	Tehen	89	1	3	8	1981	89986	89986	R
1821	補	12	6	形声_Phonetic	2	Koromo_Koromohen	21	1	2	8	1981	144396	144371	R
1822	舗	15	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	2	0	1981	14308	14277	S
1823	母	5	2	象形_Pictographic	5	Haha_Hahanokan	3	1	3	3	1981	90001	89057	S
1824	募	12	7	形声_Phonetic	2	Chikara	23	1	5	5	1981	46383	46382	S
1825	墓	13	5	形声_Phonetic	1	Tsuchi_Tsuchihen	50	1	2	2	1981	9482	9458	R
1826	慕	14	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	4	4	1981	1283	1283	S
1827	暮	14	6	形声_Phonetic	3	Nichi_Nichihen	38	1	3	8	1981	36424	35492	S
1828	簿	19	7	形声_Phonetic	1	Take_Takekanmuri	24	1	1	0	1981	9855	9819	
1829	方	4	2	象形_Pictographic	4	Hoo_Hoohen	6	1	10	3	1981	583222	568673	P
1830	包	5	4	象形_Pictographic	2	Tsutsumigamae	3	1	5	5	1981	21161	21132	S
1831	芳	7	7	形声_Phonetic	1	Kusakanmuri	47	1	1	3	1981	11662	885	R
1832	邦	7	7	形声_Phonetic	1	Oozato	12	1	1	0	1981	33838	21091	S
1833	奉	8	7	会意_Com_Ideographic	1	Dai	16	2	6	4	1981	4794	4539	R
1834	宝	8	6	形声_Phonetic	2	Ukanmuri	36	1	1	5	1981	32628	23842	S
1835	抱	8	7	形声_Phonetic	3	Tehen	89	1	4	10	1981	38818	38777	S
1836	放	8	3	会意_Com_Ideographic	3	Nobun	16	1	9	19	1981	153676	147578	R
1837	法	8	4	会意_Com_Ideographic	3	Mizu_Sanzui_Shitamizu	118	3	19	0	1981	440454	417985	P
1838	泡	8	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	5	5	1981	4698	4640	S
1839	胞	9	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	5	0	1981	17428	17427	S
1840	俸	10	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	1	0	1981	3891	3891	S
1841	倣	10	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	3	3	1981	1164	1164	
1842	峰	10	7	形声_Phonetic	1	Yama_Yamahen	16	1	4	4	1981	8727	6002	P
1843	砲	10	7	形声_Phonetic	1	Ishi_Ishihen	16	1	6	0	1981	12515	12506	S
1844	崩	11	7	形声_Phonetic	1	Yama_Yamahen	16	1	1	14	1981	39502	39488	
1845	訪	11	6	形声_Phonetic	3	Gon_Gonben	68	1	2	3	1981	91412	88820	S
1846	報	12	5	会意_Com_Ideographic	3	Tsuchi_Tsuchihen	50	1	4	4	1981	362295	352707	P
1847	蜂	13	7	形声_Phonetic	0	Mushi_Mushihen	10	1	3	3	2010	1418	1110	S
1848	豊	13	5	象形_Pictographic	2	Mame	2	1	3	3	1981	59433	19871	R
1849	飽	13	7	形声_Phonetic	1	Shoku_Shokuhen	12	1	3	8	1981	2703	2651	
1850	褒	15	7	形声_Phonetic	1	Koromo_Koromohen	21	1	2	2	1981	2529	2529	R
1851	縫	16	7	形声_Phonetic	1	Ito_Itohen	63	1	3	3	1981	2999	2974	
1852	亡	3	6	象形_Pictographic	3	Nabebuta	5	2	4	2	1981	83912	83912	S
1853	乏	4	7	象形_Pictographic	1	No	4	1	5	5	1981	6046	6046	P
1854	忙	6	7	形声_Phonetic	3	Kokoro_Risshinben_Shitagokoro	76	1	2	2	1981	6003	6003	S
1855	坊	7	7	形声_Phonetic	0	Tsuchi_Tsuchihen	50	2	3	0	1981	20907	20338	S
1856	妨	7	7	形声_Phonetic	1	Onna_Onnahen	36	1	5	5	1981	8528	8528	
1857	忘	7	6	形声_Phonetic	3	Kokoro_Risshinben_Shitagokoro	76	1	4	4	1981	21231	21226	S
1858	防	7	5	形声_Phonetic	2	Kozatohen	31	1	7	7	1981	153928	133800	R
1859	房	8	7	形声_Phonetic	1	To_Tokanmuri	6	1	3	7	1981	48104	42203	P
1860	肪	8	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	1	0	1981	3944	3944	
1861	某	9	7	会意_Com_Ideographic	1	Ki_Kihen	85	1	4	0	1981	708	708	S
1862	冒	9	7	会意_Com_Ideographic	1	Hirabi	8	1	8	8	1981	10517	10517	
1863	剖	10	7	形声_Phonetic	1	Katana_Rittoo	32	1	1	0	1981	3023	3023	
1864	紡	10	7	形声_Phonetic	1	Ito_Itohen	63	1	2	2	1981	1852	1032	S
1865	望	11	4	形声_Phonetic	3	Tsuki_Tsukihen	8	2	2	8	1981	89684	84277	P
1866	傍	12	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	3	3	1981	5937	5786	R
1867	帽	12	7	形声_Phonetic	2	Haba_Kinben	17	1	2	0	1981	4246	4227	S
1868	棒	12	6	形声_Phonetic	2	Ki_Kihen	85	1	10	0	1981	9428	9419	P
1869	貿	12	5	形声_Phonetic	2	Kai_Kaihen	35	1	1	0	1981	20655	20587	
1870	貌	14	7	象形_Pictographic	0	Mujina_Mujinahen	1	1	3	0	2010	1066	1066	P
1871	暴	15	5	会意_Com_Ideographic	2	Nichi_Nichihen	38	2	4	10	1981	43965	43965	R
1872	膨	16	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	3	1	1981	10921	10921	
1873	謀	16	7	形声_Phonetic	1	Gon_Gonben	68	2	8	8	1981	10184	10184	P
1874	頬	16	7	形声_Phonetic	0	Oogai	22	1	1	0	2010	299	298	S
1875	北	5	2	会意_Com_Ideographic	5	Hi	2	1	1	1	1981	358482	66592	R
1876	木	4	1	象形_Pictographic	5	Ki_Kihen	85	2	2	6	1981	234482	50179	S
1877	朴	6	7	形声_Phonetic	1	Ki_Kihen	85	1	3	0	1981	6090	3647	S
1878	牧	8	4	会意_Com_Ideographic	1	Ushi_Ushihen	6	1	3	1	1981	16187	4614	R
1879	睦	13	7	形声_Phonetic	1	Me_Mehen	19	1	3	0	2010	1653	194	
1880	僕	14	7	形声_Phonetic	1	Hito_Ninben_Hitoyane	104	1	2	0	1981	20544	20544	S
1881	墨	14	7	会意_Com_Ideographic	1	Tsuchi_Tsuchihen	50	1	5	5	1981	6475	3087	S
1882	撲	15	7	形声_Phonetic	1	Tehen	89	1	26	0	1981	26983	26854	
1883	没	7	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	10	0	1981	12911	12911	S
1884	勃	9	7	形声_Phonetic	0	Chikara	23	1	2	0	2010	452	452	S
1885	堀	11	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	0	0	3	1981	26572	2581	
1886	本	5	1	指事_Ideographic	5	Ki_Kihen	85	1	11	14	1981	1485252	701651	R
1887	奔	8	7	会意_Com_Ideographic	1	Dai	16	1	1	0	1981	2358	2358	S
1888	翻	18	7	形声_Phonetic	1	Hane	6	1	3	8	1981	7024	7024	S
1889	凡	3	7	象形_Pictographic	1	Tsukue	1	2	1	0	1981	5003	4378	R
1890	盆	9	7	形声_Phonetic	1	Sara	8	1	3	0	1981	2996	2792	S
1891	麻	11	7	会意_Com_Ideographic	1	Asa	1	1	5	5	1981	38472	10810	S
1892	摩	15	7	形声_Phonetic	1	Te	6	1	8	0	1981	10857	3538	S
1893	磨	16	7	形声_Phonetic	2	Ishi_Ishihen	16	1	7	7	1981	11687	6335	S
1894	魔	21	7	形声_Phonetic	1	Oni_Kinyoo	4	1	4	0	1981	8668	8605	S
1895	毎	6	2	象形_Pictographic	5	Haha_Hahanokan	3	1	5	0	1981	138919	56868	R
1896	妹	8	2	形声_Phonetic	4	Onna_Onnahen	36	1	1	1	1981	11388	10780	P
1897	枚	8	6	会意_Com_Ideographic	2	Ki_Kihen	85	1	4	0	1981	30084	28336	
1898	昧	9	7	形声_Phonetic	0	Nichi_Nichihen	38	1	2	0	2010	378	371	P
1899	埋	10	7	形声_Phonetic	2	Tsuchi_Tsuchihen	50	1	3	12	1981	18917	18914	R
1900	幕	13	6	形声_Phonetic	1	Haba_Kinben	17	2	7	0	1981	58012	56775	P
1901	膜	14	7	形声_Phonetic	1	Niku_Nikuzuki	44	1	1	0	1981	4833	4833	P
1902	枕	8	7	形声_Phonetic	0	Ki_Kihen	85	0	0	1	2010	2004	1749	S
1903	又	2	7	象形_Pictographic	1	Mata	9	0	0	4	1981	3304	1402	
1904	末	5	4	指事_Ideographic	3	Ki_Kihen	85	2	2	7	1981	100981	97460	S
1905	抹	8	7	形声_Phonetic	1	Tehen	89	1	3	0	1981	2742	2742	S
1906	万	3	2	象形_Pictographic	5	Ichi	14	2	4	0	1981	409412	404560	R
1907	満	12	4	形声_Phonetic	3	Mizu_Sanzui_Shitamizu	118	1	8	11	1981	85439	76938	R
1908	慢	14	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	2	0	1981	11565	11565	S
1909	漫	14	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	2	0	1981	10740	10740	S
1910	未	5	4	象形_Pictographic	3	Ki_Kihen	85	1	3	0	1981	73951	72897	R
1911	味	8	3	形声_Phonetic	4	Kuchi_Kuchihen	70	1	6	8	1981	112407	109252	P
1912	魅	15	7	会意_Com_Ideographic	1	Oni_Kinyoo	4	1	4	0	1981	18948	18948	
1913	岬	8	7	形声_Phonetic	1	Yama_Yamahen	16	0	0	3	1981	1103	465	
1914	密	11	6	会意_Com_Ideographic	1	Ukanmuri	36	1	5	0	1981	41010	40919	S
1915	蜜	14	7	形声_Phonetic	0	Mushi_Mushihen	10	1	4	0	2010	773	773	S
1916	脈	10	4	会意_Com_Ideographic	1	Niku_Nikuzuki	44	1	5	0	1981	9303	8972	P
1917	妙	7	7	形声_Phonetic	1	Onna_Onnahen	36	1	5	0	1981	18000	15272	S
1918	民	5	4	象形_Pictographic	3	Uji	2	1	3	3	1981	634153	405427	S
1919	眠	10	7	形声_Phonetic	3	Me_Mehen	19	1	1	5	1981	13855	13711	P
1920	矛	5	7	象形_Pictographic	1	Hoko	1	1	4	4	1981	5160	5160	
1921	務	11	5	形声_Phonetic	3	Chikara	23	1	8	8	1981	396197	340217	P
1922	無	12	4	仮借_Loan	2	Hi_Hihen_Renga	26	2	3	3	1981	225588	224748	R
1923	夢	13	5	会意_Com_Ideographic	3	Yuube	5	1	5	5	1981	36345	34107	S
1924	霧	19	7	形声_Phonetic	1	Ame_Amekanmuri	13	1	3	3	1981	3282	2670	S
1925	娘	10	7	形声_Phonetic	3	Onna_Onnahen	36	0	0	3	1981	24495	24353	S
1926	名	6	1	会意_Com_Ideographic	5	Kuchi_Kuchihen	70	2	4	4	1981	291373	241836	S
1927	命	8	3	会意_Com_Ideographic	3	Kuchi_Kuchihen	70	2	4	1	1981	118516	106488	P
1928	明	8	2	会意_Com_Ideographic	4	Nichi_Nichihen	38	2	6	44	1981	626629	512392	S
1929	迷	9	5	形声_Phonetic	3	Shinnyoo	51	1	9	9	1981	28744	28706	S
1930	冥	10	7	象形_Pictographic	0	Wakanmuri	4	2	1	0	2010	1680	1680	R
1931	盟	13	6	会意_Com_Ideographic	1	Sara	8	1	2	0	1981	62825	61465	S
1932	銘	14	7	形声_Phonetic	1	Kane_Kanehen	33	1	4	0	1981	11471	10830	S
1933	鳴	14	2	会意_Com_Ideographic	3	Tori	4	1	1	25	1981	17034	15408	S
1934	滅	13	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	2	5	1981	14489	14489	P
1935	免	8	7	象形_Pictographic	1	Hitoashi	9	1	1	9	1981	24881	24617	S
1936	面	9	3	象形_Pictographic	3	Men	1	1	11	4	1981	232121	231082	P
1937	綿	14	5	会意_Com_Ideographic	2	Ito_Itohen	63	1	3	2	1981	10568	8624	S
1938	麺	16	7	形声_Phonetic	0	Mugi	2	1	2	0	2010	881	881	S
1939	茂	8	7	形声_Phonetic	1	Kusakanmuri	47	1	3	3	1981	25054	945	
1940	模	14	6	形声_Phonetic	1	Ki_Kihen	85	2	3	0	1981	68951	63281	R
1941	毛	4	2	象形_Pictographic	2	Ke	1	1	2	4	1981	15919	10106	P
1942	妄	6	7	形声_Phonetic	1	Onna_Onnahen	36	2	6	0	1981	1021	1021	S
1943	盲	8	7	形声_Phonetic	1	Me_Mehen	19	1	1	0	1981	3809	3787	S
1944	耗	10	7	形声_Phonetic	1	Sukihen	2	2	1	0	1981	1805	1805	
1945	猛	11	7	形声_Phonetic	1	Inu_Kemonohen	17	1	3	0	1981	13519	11626	R
1946	網	14	7	形声_Phonetic	1	Ito_Itohen	63	1	2	2	1981	14735	11591	S
1947	目	5	1	象形_Pictographic	4	Me_Mehen	19	2	4	24	1981	510537	503519	P
1948	黙	15	7	形声_Phonetic	1	Kuro	2	1	1	3	1981	10043	9902	R
1949	門	8	2	象形_Pictographic	2	Mongamae	11	1	5	2	1981	106883	91494	P
1950	紋	10	7	形声_Phonetic	1	Ito_Itohen	63	1	2	0	1981	5644	5444	S
1951	問	11	3	会意_Com_Ideographic	4	Kuchi_Kuchihen	70	1	4	5	1981	433896	433569	P
1952	冶	7	7	形声_Phonetic	1	Nisui	6	1	1	0	2010	460	277	
1953	夜	8	2	会意_Com_Ideographic	4	Yuube	5	1	1	4	1981	70624	69976	S
1954	野	11	2	形声_Phonetic	4	Sato_Satohen	4	1	5	2	1981	522054	251945	R
1955	弥	8	7	会意_Com_Ideographic	1	Yumi_Yumihen	11	0	0	2	2010	11880	1477	
1956	厄	4	7	形声_Phonetic	1	Gandare	4	1	4	0	1981	819	817	S
1957	役	7	3	会意_Com_Ideographic	3	Gyooninben	19	2	14	0	1981	164061	163521	P
1958	約	9	4	形声_Phonetic	3	Ito_Itohen	63	1	4	0	1981	410379	410298	P
1959	訳	11	6	形声_Phonetic	1	Gon_Gonben	68	1	1	7	1981	26637	26637	S
1960	薬	16	3	形声_Phonetic	3	Kusakanmuri	47	1	1	6	1981	64142	58237	S
1961	躍	21	7	形声_Phonetic	1	Ashi_Ashihen	11	1	6	6	1981	37975	37975	S
1962	闇	17	7	形声_Phonetic	0	Mongamae	11	0	0	5	2010	5404	5401	
1963	由	5	3	象形_Pictographic	3	Ta_Tahen	19	3	1	8	1981	148001	107549	S
1964	油	8	3	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	1	1	1981	59563	54708	S
1965	喩	12	7	形声_Phonetic	0	Kuchi_Kuchihen	70	1	3	0	2010	333	333	P
1966	愉	12	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	1	0	1981	1411	1411	
1967	諭	16	7	形声_Phonetic	1	Gon_Gonben	68	1	7	7	1981	13813	9918	S
1968	輸	16	5	形声_Phonetic	2	Kuruma_Kurumahen	15	1	2	0	1981	67338	62944	S
1969	癒	18	7	形声_Phonetic	1	Yamaidare	15	1	4	6	1981	5821	5821	S
1970	唯	11	7	会意_Com_Ideographic	1	Kuchi_Kuchihen	70	2	4	0	1981	11191	10373	R
1971	友	4	2	会意_Com_Ideographic	5	Mata	9	1	3	3	1981	73292	42506	S
1972	有	6	3	会意_Com_Ideographic	4	Tsuki_Tsukihen	8	2	3	11	1981	180920	159897	R
1973	勇	9	4	形声_Phonetic	2	Chikara	23	1	3	2	1981	15895	9017	S
1974	幽	9	7	会意_Com_Ideographic	1	Itogashira	4	1	1	0	1981	1504	1451	R
1975	悠	11	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	3	0	1981	4748	1114	R
1976	郵	11	6	会意_Com_Ideographic	2	Oozato	12	1	2	0	1981	50252	48464	R
1977	湧	12	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	9	9	2010	916	390	
1978	猶	12	7	形声_Phonetic	1	Inu_Kemonohen	17	1	6	0	1981	6413	6411	
1979	裕	12	7	形声_Phonetic	1	Koromo_Koromohen	21	1	4	0	1981	42283	9873	
1980	遊	12	3	形声_Phonetic	3	Shinnyoo	51	2	9	9	1981	35749	35088	R
1981	雄	12	7	形声_Phonetic	1	Furutori	9	1	5	1	1981	67039	10571	R
1982	誘	14	7	形声_Phonetic	1	Gon_Gonben	68	1	9	9	1981	25201	24921	R
1983	憂	15	7	会意_Com_Ideographic	1	Kokoro_Risshinben_Shitagokoro	76	1	3	11	1981	7942	4499	S
1984	融	16	7	会意_Com_Ideographic	1	Mushi_Mushihen	10	1	2	0	1981	108091	106891	S
1985	優	17	6	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	3	11	1981	183796	175331	R
1986	与	3	7	会意_Com_Ideographic	3	Ichi	14	1	6	6	1981	149687	143595	S
1987	予	4	3	象形_Pictographic	3	Haneboo	3	1	3	0	1981	246395	245667	R
1988	余	7	5	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	8	6	1981	47259	46813	R
1989	誉	13	7	形声_Phonetic	1	Gon_Gonben	68	1	1	2	1981	23097	22380	
1990	預	13	5	形声_Phonetic	2	Oogai	22	1	6	13	1981	19869	19148	
1991	幼	5	6	象形_Pictographic	2	Itogashira	4	1	4	1	1981	18075	18075	R
1992	用	5	2	象形_Pictographic	4	Mochiiru	1	1	11	3	1981	371091	369078	P
1993	羊	6	3	象形_Pictographic	1	Hitsuji	7	1	1	1	1981	2775	2642	S
1994	妖	7	7	形声_Phonetic	0	Onna_Onnahen	36	1	3	3	2010	1638	1638	S
1995	洋	9	3	形声_Phonetic	4	Mizu_Sanzui_Shitamizu	118	1	6	0	1981	82908	24111	R
1996	要	9	4	象形_Pictographic	3	Nishi	4	1	5	7	1981	343227	340979	S
1997	容	10	5	会意_Com_Ideographic	3	Ukanmuri	36	1	2	0	1981	228205	225588	S
1998	庸	11	7	会意_Com_Ideographic	1	Madare	17	1	3	0	1981	1128	180	
1999	揚	12	7	形声_Phonetic	1	Tehen	89	1	1	51	1981	12169	11863	S
